element,period (row),group (column),data
H,1,1,y
He,1,18,y
Li,2,1,y
Be,2,2,y
B,2,13,y
C,2,14,y
N,2,15,y
O,2,16,y
F,2,17,y
Ne,2,18,y
Na,3,1,y
Mg,3,2,y
Al,3,13,y
Si,3,14,y
P,3,15,y
S,3,16,y
Cl,3,17,y
Ar,3,18,y
K,4,1,y
Ca,4,2,y
Sc,4,3,y
Ti,4,4,y
V,4,5,y
Cr,4,6,y
Mn,4,7,y
Fe,4,8,y
Co,4,9,y
Ni,4,10,y
Cu,4,11,y
Zn,4,12,y
Ga,4,13,y
Ge,4,14,y
As,4,15,y
Se,4,16,y
Br,4,17,y
Kr,4,18,y
Rb,5,1,y
Sr,5,2,y
Y,5,3,y
Zr,5,4,y
Nb,5,5,y
Mo,5,6,y
Tc,5,7,y
Ru,5,8,y
Rh,5,9,y
Pd,5,10,y
Ag,5,11,y
Cd,5,12,y
In,5,13,y
Sn,5,14,y
Sb,5,15,y
Te,5,16,y
I,5,17,y
Xe,5,18,y
Cs,6,1,y
Ba,6,2,y
La,9,4,y
Ce,9,5,y
Pr,9,6,y
Nd,9,7,y
Pm,9,8,y
Sm,9,9,y
Eu,9,10,n
Gd,9,11,n
Tb,9,12,y
Dy,9,13,n
Ho,9,14,n
Er,9,15,n
Tm,9,16,y
Yb,9,17,y
Lu,9,18,y
Hf,6,4,y
Ta,6,5,y
W,6,6,y
Re,6,7,y
Os,6,8,y
Ir,6,9,y
Pt,6,10,y
Au,6,11,y
Hg,6,12,y
Tl,6,13,y
Pb,6,14,y
Bi,6,15,y
Po,6,16,n
At,6,17,n
Rn,6,18,n
Fr,7,1,n
Ra,7,2,n
Ac,10,4,n
Th,10,5,y
Pa,10,6,n
U,10,7,y
Np,10,8,n
Pu,10,9,n
Am,10,10,n
Cm,10,11,n
Bk,10,12,n
Cf,10,13,n
Es,10,14,n
Fm,10,15,n
Md,10,16,n
No,10,17,n
Lr,10,18,n
Rf,7,4,n
Db,7,5,n
Sg,7,6,n
Bh,7,7,n
Hs,7,8,n
Mt,7,9,n
Ks,7,10,n
Rg,7,11,n
Cn,7,12,n
Nh,7,13,n
Fl,7,14,n
Mc,7,15,n
Lv,7,16,n
Ts,7,17,n
Og,7,18,n
